NAME;CITY;ID NUMBER;GENDER;SOCIAL STATUS;AGE;EDUCATION LEVEL;NEWS TYPE;FAKE NEWS SHARED THIS MONTH
Nigel Frami;Cartagena;413-76-8965;M;6;39;Profesional;Politica,Cientifica;5
Sheilah Bechtelar;Barranquilla;555-75-3912;F;4;49;Profesional especializacion/master;;0
Odis Orn;Barranquilla;781-61-0383;M;2;20;Profesional;Farandula,Economica;1
Fr. Nicholas Larson;Cartagena;784-77-1290;F;1;20;Profesional;Cientifica,Economica;1
Lizbeth Corkery;Cartagena;083-56-0429;F;5;58;Profesional;Economica,Farandula;1
Lino Volkman Esq.;Barranquilla;832-84-9641;M;5;42;Profesional;Farandula,Politica;6
Mellie Bartoletti V;Santa Marta;853-17-0400;F;4;21;Tecnico;Farandula;1
Melania Anderson;Barranquilla;373-23-3016;M;6;30;Profesional;Cientifica,Farandula,Politica;5
Helene Spencer;Santa Marta;556-04-4429;F;1;24;Tecnico;Economica,Farandula,Politica,Cientifica;6
Ms. Glynda Braun;Cartagena;066-06-0141;F;4;51;Profesional;;0
Conrad Hudson JD;Santa Marta;673-97-4996;M;4;26;Tecnico;Economica,Farandula;4
Dusty Hermiston;Santa Marta;338-33-1411;M;3;56;Tecnico;Cientifica;1
Jackie Adams;Santa Marta;231-82-0127;M;3;15;Colegio;;0
Walton Ledner;Barranquilla;382-83-8983;M;3;31;Tecnico;Cientifica,Politica,Economica;5
Fleta Walker;Santa Marta;368-42-4776;M;3;38;Profesional;Farandula,Politica;5
Gov. Granville Gleichner;Barranquilla;698-62-2860;M;3;15;Colegio;Politica,Cientifica,Economica;1
Ruthann Mante;Barranquilla;565-90-6311;M;3;22;Profesional;Politica,Economica,Farandula;5
Melynda Mante;Cartagena;620-61-8370;M;6;53;Tecnico;Cientifica,Farandula,Politica;1
Carlee Bergnaum;Barranquilla;690-63-3217;M;4;32;Tecnico;Farandula,Cientifica,Politica;4
Gay Hills;Barranquilla;098-14-5286;M;2;60;Tecnico;Economica,Politica;1
The Hon. January Deckow;Cartagena;375-47-2518;M;5;32;Tecnico;Farandula,Economica;4
Katlyn Towne Jr.;Cartagena;111-35-0801;M;2;57;Profesional;;0
Sen. Isabelle Trantow;Cartagena;893-48-7754;M;5;43;Profesional;Politica,Economica;6
Bernard McGlynn;Santa Marta;131-82-0994;M;5;51;Profesional;;0
Drew MacGyver;Barranquilla;524-89-8034;M;6;38;Tecnico;Cientifica;5
Margarito Schimmel;Cartagena;526-47-3817;F;2;14;Colegio;;0
Ernesto Padberg DDS;Santa Marta;641-09-9932;M;4;50;Profesional;;0
Oscar Kunde;Cartagena;653-79-0450;M;2;36;Tecnico;Economica,Farandula,Politica;6
Noelia Dietrich DC;Cartagena;634-02-0757;M;6;33;Profesional;Cientifica;6
Adriana Feeney;Cartagena;602-83-5123;F;2;36;Profesional;Politica;4
Rep. Margaret Kihn;Barranquilla;032-07-9562;F;3;18;Tecnico;;0
Tegan Boyer;Barranquilla;230-54-4331;M;6;39;Profesional;Politica,Cientifica,Economica;6
Lida Deckow;Santa Marta;516-58-1125;M;4;38;Profesional;Economica;5
Wiley Hagenes;Cartagena;795-45-8948;M;3;46;Tecnico;;0
Heather Schimmel;Cartagena;328-72-5068;M;3;15;Colegio;;0
Verda Schimmel;Santa Marta;073-65-7079;M;6;27;Profesional;Politica,Cientifica,Farandula,Economica;4
Darrell Bradtke;Barranquilla;649-80-0400;F;2;42;Profesional;Farandula,Politica,Economica;5
Hildred O'Conner;Barranquilla;308-74-2675;F;6;23;Profesional;Economica;4
Fredrick Schroeder;Barranquilla;639-12-2727;M;5;22;Tecnico;Politica,Cientifica,Economica;5
Ivelisse Spinka;Santa Marta;537-74-5776;M;1;43;Tecnico;Economica,Politica,Cientifica,Farandula;4
Wesley Boyer;Santa Marta;144-82-1882;F;2;22;Tecnico;Farandula,Economica,Politica;4
Wilbur Homenick;Santa Marta;378-68-6782;F;3;33;Tecnico;Economica,Politica;4
Carol Deckow;Santa Marta;076-88-0779;M;2;34;Tecnico;Farandula,Politica,Cientifica,Economica;4
Agripina Gusikowski II;Santa Marta;198-49-4564;F;1;31;Profesional especializacion/master;Cientifica;6
Amb. Willow Lubowitz;Cartagena;577-54-1224;F;3;23;Tecnico;Politica,Cientifica,Farandula,Economica;4
Kylee Kemmer;Barranquilla;761-35-3609;F;6;60;Tecnico;;0
Bill Rutherford;Cartagena;276-25-5674;M;4;39;Tecnico;Cientifica,Economica;6
Amb. Donnie Cartwright;Barranquilla;633-50-7188;M;6;49;Profesional;;0
Carl Walker Ret.;Santa Marta;774-79-3037;F;3;20;Profesional;Economica,Politica,Cientifica,Farandula;1
Gregg Keeling;Cartagena;269-98-6593;F;4;18;Tecnico;;0
Tory Reichert;Santa Marta;582-63-6921;M;3;22;Tecnico;Cientifica;4
Foster Lockman;Barranquilla;103-77-4982;F;2;54;Tecnico;;0
Coleman O'Kon III;Cartagena;407-37-1192;F;4;21;Tecnico;Economica,Cientifica,Farandula;1
Wendell Lynch;Cartagena;829-21-9458;F;1;25;Profesional;Farandula,Economica;4
The Hon. Archie Parisian;Santa Marta;044-95-2650;M;3;30;Tecnico;Politica,Economica,Cientifica;5
Mrs. Keesha Reichel;Cartagena;541-02-0582;M;3;34;Profesional;Farandula,Economica,Politica;4
Ralph Ruecker;Cartagena;004-87-0463;M;5;42;Profesional doctorado;Cientifica;4
Vito Cronin;Santa Marta;451-33-2373;M;6;18;Profesional;;0
Quincy Veum;Santa Marta;479-31-0836;F;5;55;Profesional;;0
Gail Pagac;Barranquilla;488-10-9558;F;6;21;Profesional;Economica,Politica,Farandula;1
Penni Larson;Cartagena;869-61-5317;M;6;53;Profesional;Cientifica,Farandula;1
Jasper Beahan;Cartagena;222-93-1774;M;4;53;Tecnico;;0
Piedad Hegmann;Barranquilla;368-35-6479;F;4;33;Tecnico;Politica,Farandula,Economica;4
Tamra Baumbach;Santa Marta;349-94-1988;F;6;33;Tecnico;Economica,Cientifica,Farandula;6
Lionel Dicki V;Cartagena;659-32-1526;F;4;44;Profesional especializacion/master;Economica,Cientifica,Farandula;5
Barton Sipes;Barranquilla;608-90-9989;M;3;29;Profesional especializacion/master;Farandula,Economica,Politica,Cientifica;6
Mitchel Marquardt;Barranquilla;052-07-5121;M;6;35;Profesional;Politica,Farandula;5
Sen. Tracy Kiehn;Cartagena;177-35-3133;M;4;20;Profesional;;0
Deandra Conn;Santa Marta;581-49-3474;M;2;20;Profesional;;0
Johnathan Zemlak;Barranquilla;567-83-1916;M;6;38;Tecnico;Farandula;6
Jeane Kemmer;Cartagena;220-99-2102;F;3;23;Tecnico;Politica;4
Max Ebert;Barranquilla;054-69-5838;M;2;16;Profesional;;0
Iraida Kohler;Cartagena;376-81-9305;M;3;41;Profesional;Farandula,Politica,Cientifica;6
Hershel Wisoky;Barranquilla;699-72-4924;F;4;23;Profesional;Cientifica;4
Alvaro Hessel III;Barranquilla;047-99-3183;F;1;47;Profesional;Economica,Farandula;1
Zane Emard;Santa Marta;331-43-3567;M;3;46;Profesional;Economica;1
Rena Collins;Santa Marta;577-93-1372;M;4;29;Profesional especializacion/master;Economica,Farandula,Cientifica;6
Rev. Miles West;Cartagena;023-85-1394;F;2;43;Profesional especializacion/master;Politica,Cientifica;5
The Hon. Colton Jacobi;Barranquilla;734-41-6455;F;5;32;Profesional especializacion/master;Farandula,Economica;6
Marquis Bosco;Cartagena;537-78-9326;M;4;35;Profesional;Economica;4
Portia Hand Jr.;Barranquilla;707-07-4766;F;5;17;Tecnico;Politica,Farandula,Economica,Cientifica;1
The Hon. Willie Rau;Santa Marta;157-05-5772;F;5;29;Profesional;Politica,Farandula;4
Delpha Gerlach;Barranquilla;845-31-5264;M;3;60;Tecnico;;0
Millicent Greenholt;Barranquilla;724-71-3245;F;5;39;Profesional;Economica,Politica,Farandula;4
Miss Mirta Dietrich;Cartagena;596-03-7470;F;6;49;Tecnico;;0
Ellena O'Keefe;Cartagena;456-96-0647;M;1;39;Profesional especializacion/master;Cientifica,Politica,Farandula,Economica;6
The Hon. Felton Windler;Barranquilla;476-88-5137;M;5;54;Tecnico;Cientifica;1
Ellie Dare;Santa Marta;254-37-1869;F;5;21;Profesional;;0
Avis Bogan;Cartagena;437-16-0805;M;4;25;Profesional;Economica,Farandula,Politica,Cientifica;4
Amb. Heath Heaney;Barranquilla;189-15-8733;F;1;32;Profesional doctorado;Economica,Politica,Farandula,Cientifica;6
Leopoldo Botsford;Santa Marta;529-67-4376;M;4;26;Tecnico;Economica,Farandula,Cientifica,Politica;5
Monroe Hoppe;Santa Marta;529-78-4077;M;5;32;Profesional;Politica,Farandula,Cientifica,Economica;4
Cathleen Barton DDS;Cartagena;784-91-1091;M;3;19;Tecnico;Cientifica,Farandula,Economica,Politica;1
Zachary Bartoletti;Barranquilla;359-87-6239;F;4;35;Tecnico;Cientifica,Economica;6
Mr. Le Towne;Santa Marta;046-61-0757;F;6;41;Tecnico;Economica;5
Salvador McGlynn;Cartagena;438-91-4395;F;1;58;Profesional especializacion/master;Politica;1
Mina Weissnat IV;Santa Marta;110-01-0174;F;6;51;Profesional especializacion/master;;0
Wiley O'Reilly IV;Santa Marta;064-56-0516;F;6;14;Colegio;;0
Clayton Ernser;Santa Marta;176-83-5614;M;1;37;Tecnico;Economica;4
Misty Ferry II;Barranquilla;533-16-5337;F;3;39;Profesional doctorado;Politica;4
Van Little;Santa Marta;041-51-1730;F;2;19;Tecnico;;0
Earnestine Hartmann;Santa Marta;042-75-3070;F;5;43;Tecnico;Cientifica,Farandula,Economica,Politica;5
Virgilio Carroll;Cartagena;105-13-7204;M;6;35;Tecnico;Politica,Economica,Farandula,Cientifica;5
Efrain Hahn;Barranquilla;886-94-1947;M;4;38;Profesional especializacion/master;Politica,Economica,Cientifica;6
The Hon. Jermaine Purdy;Cartagena;269-35-7046;F;4;37;Tecnico;Cientifica,Farandula,Politica,Economica;4
Lillian Thiel;Cartagena;358-51-6721;F;6;60;Profesional;;0
Chanell Altenwerth DDS;Barranquilla;059-58-6843;F;1;44;Profesional;Cientifica;5
Darrick Sipes;Cartagena;543-52-7089;M;1;18;Tecnico;;0
Lory Satterfield;Santa Marta;339-69-2603;F;6;40;Tecnico;Farandula,Economica;6
Soo Glover;Santa Marta;140-37-3856;F;2;41;Tecnico;Economica,Politica,Farandula;4
Tonita Gislason;Santa Marta;495-17-7551;M;6;17;Tecnico;Politica,Farandula,Cientifica;1
Milagros Bergnaum;Barranquilla;849-17-7232;M;4;33;Profesional;Economica,Politica,Cientifica;6
Dusti Daniel VM;Santa Marta;189-02-2385;M;1;29;Profesional;Farandula;4
The Hon. Newton Rodriguez;Cartagena;851-91-4027;M;5;39;Tecnico;Politica,Economica;4
Ms. Rosalva Mayert;Cartagena;497-59-4133;F;4;17;Profesional;Politica,Economica,Cientifica,Farandula;1
Darrell Conn;Barranquilla;811-72-4932;M;4;27;Profesional;Farandula,Economica;6
Sherman Zemlak;Santa Marta;579-65-3856;M;1;57;Profesional especializacion/master;;0
Amb. Linh Jerde;Santa Marta;406-13-4257;F;2;24;Tecnico;Cientifica,Politica;5
Josh Jacobi;Cartagena;702-62-4064;F;6;39;Tecnico;Economica,Politica;4
Kendra Haag;Cartagena;581-25-3523;F;5;35;Profesional doctorado;Economica;6
Wilhelmina Rodriguez;Santa Marta;272-33-8874;M;2;37;Tecnico;Politica;4
Wendell O'Keefe;Cartagena;506-42-2380;F;2;40;Profesional especializacion/master;Farandula;5
Kristofer Osinski;Santa Marta;357-92-8774;F;2;31;Tecnico;Politica,Economica,Farandula;6
Dino Mante;Santa Marta;177-02-0141;F;5;45;Tecnico;Economica;4
Gwenn Lang;Santa Marta;500-08-1653;M;4;31;Tecnico;Cientifica,Economica,Politica;6
Mathew Jaskolski;Santa Marta;768-06-6699;F;3;21;Profesional;;0
Darrick Torp;Barranquilla;231-31-1103;F;3;42;Tecnico;Politica;6
Reyes Heidenreich;Barranquilla;758-18-9871;M;4;19;Tecnico;;0
Emmie Osinski DO;Cartagena;057-38-8827;M;4;40;Profesional especializacion/master;Cientifica,Politica,Farandula;4
Lida Wyman;Santa Marta;200-21-2706;M;1;53;Tecnico;;0
Joey Gutmann;Barranquilla;242-57-2458;F;4;16;Tecnico;Politica,Farandula,Economica;1
Collin Jacobson;Santa Marta;812-68-8895;M;5;14;Colegio;;0
Asuncion Schaefer;Barranquilla;622-31-5162;M;1;29;Profesional;Economica;6
Mrs. Jere Bednar;Cartagena;368-46-7023;M;3;45;Profesional;Cientifica,Farandula,Economica;5
Christina Abshire;Cartagena;812-86-8192;M;5;20;Tecnico;Politica,Economica,Cientifica;1
Kerstin Mante;Cartagena;696-21-7364;F;2;16;Tecnico;;0
Ronald Jacobson;Barranquilla;462-57-4439;M;6;23;Tecnico;Politica;4
Dalene Runte;Barranquilla;408-91-3933;M;2;51;Profesional especializacion/master;;0
Marcel Becker;Santa Marta;356-75-4213;F;3;28;Tecnico;Politica,Farandula,Cientifica;6
Jeffrey Kihn;Cartagena;689-07-9499;M;4;52;Tecnico;Farandula,Cientifica,Politica,Economica;1
Miss Bernardo Streich;Cartagena;064-07-0758;M;4;24;Profesional;Cientifica;4
Lottie Gislason;Cartagena;583-75-6433;M;4;19;Profesional;Farandula;1
Virgil McDermott;Barranquilla;513-32-2793;M;5;45;Profesional especializacion/master;Politica,Farandula;6
Naomi O'Keefe DDS;Barranquilla;879-61-8885;M;6;22;Profesional;Cientifica,Farandula,Politica;5
Patrica Lindgren DO;Cartagena;790-68-7310;M;2;59;Tecnico;Economica,Politica,Cientifica;1
Elisha Kuhn;Cartagena;673-05-3254;M;6;47;Profesional;;0
Omar Cummings;Santa Marta;527-12-7571;M;5;41;Profesional;Cientifica;4
Rutha Hudson;Cartagena;153-62-4570;M;6;56;Tecnico;;0
Lucio Howell;Barranquilla;163-64-3359;F;2;16;Profesional;;0
Waldo Kassulke;Barranquilla;520-92-5194;F;1;35;Tecnico;Politica;6
Merlin Skiles IV;Cartagena;685-63-4379;F;4;24;Tecnico;Politica,Economica,Cientifica,Farandula;4
Stefania Conroy;Santa Marta;044-94-4470;M;2;14;Colegio;;0
Mr. Teddy Russel;Santa Marta;338-46-5996;F;6;18;Profesional;Farandula,Politica;1
Lorilee Lynch JD;Cartagena;129-80-6286;F;2;27;Profesional;Economica;6
Amb. Leigha Greenfelder;Cartagena;625-65-4695;F;4;26;Profesional;Economica;4
Adam Cormier Esq.;Barranquilla;866-45-6755;M;5;56;Profesional especializacion/master;Farandula;1
Damon Bartell LLD;Barranquilla;545-73-7723;M;1;19;Tecnico;Economica,Cientifica;1
Porter Osinski;Cartagena;394-74-7703;M;3;14;Colegio;Farandula,Politica,Cientifica,Economica;1
Mr. Gaston Daniel;Cartagena;367-93-8007;F;2;51;Tecnico;;0
Eun Wuckert;Barranquilla;324-13-0827;M;2;38;Tecnico;Farandula;6
Phillis Jacobson;Santa Marta;035-69-6714;M;3;23;Profesional;Farandula,Economica,Cientifica,Politica;6
Msgr. Bobbi Monahan;Santa Marta;391-13-9956;F;5;46;Tecnico;Economica,Farandula,Politica;1
Howard Streich;Cartagena;062-55-7235;M;1;31;Profesional;Cientifica;6
Davis White;Barranquilla;529-49-8538;M;6;40;Profesional;Farandula,Cientifica,Economica;6
Waneta Herman;Barranquilla;797-49-1219;M;6;18;Profesional;;0
Corene Bashirian;Cartagena;387-30-7121;M;4;23;Tecnico;Farandula;6
Janey Waelchi;Cartagena;350-60-0436;F;4;15;Colegio;Cientifica,Economica,Politica,Farandula;1
Andre Osinski;Barranquilla;526-21-2313;M;2;41;Profesional;Cientifica;4
Christiane Conroy;Barranquilla;554-10-3060;F;4;19;Profesional;;0
Darrell Rosenbaum;Barranquilla;670-06-4533;M;1;33;Tecnico;Cientifica,Farandula,Politica,Economica;4
Shonda Franecki LLD;Santa Marta;034-69-3025;M;3;47;Profesional;;0
Toshiko Bednar;Barranquilla;752-87-6351;M;1;28;Tecnico;Economica,Farandula;6
Jarod Johnston;Santa Marta;123-67-2232;M;2;32;Tecnico;Farandula,Cientifica;4
Cedric Collier LLD;Barranquilla;660-52-9898;M;1;23;Tecnico;Farandula,Cientifica,Economica;5
Ms. Paul Kuhn;Cartagena;536-61-5077;F;5;26;Profesional;Farandula,Cientifica,Economica;4
Gov. Danny Hahn;Cartagena;112-85-7781;M;4;57;Tecnico;Economica,Farandula,Cientifica,Politica;1
Ria Balistreri;Barranquilla;725-83-2364;F;1;35;Profesional;Politica,Cientifica,Economica;6
Star Stark;Santa Marta;108-07-5055;M;1;18;Profesional;;0
Eddie Langworth;Barranquilla;361-97-7125;F;3;22;Tecnico;Economica,Cientifica,Farandula,Politica;4
Hugo Witting Jr.;Santa Marta;840-65-2643;M;3;30;Tecnico;Farandula,Cientifica,Politica;5
Ms. Garland Botsford;Cartagena;722-41-8132;F;2;60;Profesional;;0
Darrin Runte;Santa Marta;713-24-7704;M;2;42;Profesional;Cientifica,Economica,Farandula;6
Patricia Satterfield;Barranquilla;647-57-8187;M;3;27;Profesional;Cientifica;5
Gov. Hanna Hackett;Cartagena;362-44-6934;F;6;47;Profesional doctorado;Farandula,Politica,Economica,Cientifica;1
Elsa Harris;Cartagena;519-53-9014;M;2;20;Profesional;;0
Frida Tremblay I;Barranquilla;808-19-9906;F;4;28;Tecnico;Economica,Politica;5
Derick Wilkinson;Barranquilla;791-57-3968;M;1;20;Profesional;Economica,Cientifica;1
Stan Volkman LLD;Barranquilla;694-87-8594;M;2;34;Tecnico;Economica,Cientifica,Farandula;4
Stephany Tremblay;Cartagena;304-16-5465;M;6;36;Profesional;Economica,Politica,Cientifica;6
Augustus Purdy;Barranquilla;701-72-7597;F;2;58;Profesional especializacion/master;Economica,Cientifica;1
Mr. Lynn Volkman;Barranquilla;073-75-7979;M;1;56;Tecnico;;0
Lue Labadie;Barranquilla;556-64-5581;M;1;44;Profesional;Farandula,Politica;4
Ezekiel Langosh;Santa Marta;775-10-6734;F;3;60;Profesional;Farandula;1
Emiko Feeney CPA;Cartagena;354-95-5233;M;3;57;Tecnico;;0
Miss Annabel Kub;Santa Marta;042-12-9309;M;4;57;Profesional;Economica,Farandula,Cientifica,Politica;1
Morris Beatty;Santa Marta;328-66-7920;M;6;38;Tecnico;Farandula,Politica,Economica;6
Horace Hills;Santa Marta;288-39-0165;M;3;51;Profesional;Economica,Politica,Farandula,Cientifica;1
Ismael Kovacek;Cartagena;140-41-5350;M;5;31;Tecnico;Cientifica;6
Ghislaine Spinka;Santa Marta;317-81-1317;M;5;37;Profesional;Politica,Economica,Cientifica;6
Graham McKenzie;Barranquilla;326-12-9732;F;3;40;Tecnico;Farandula,Cientifica,Economica,Politica;4
Latanya Goyette;Santa Marta;431-20-5464;M;1;35;Tecnico;Economica;4
Belkis Tremblay;Barranquilla;496-90-6047;F;2;41;Profesional;Cientifica,Economica,Politica,Farandula;5
Prof. Carmon Gleichner;Santa Marta;820-80-1547;M;2;54;Tecnico;Farandula,Politica;1
Ulysses Beer;Cartagena;714-48-0070;F;6;42;Profesional;Farandula;5
Cindie Keeling Jr.;Barranquilla;004-97-2854;F;3;38;Profesional;Economica;5
Weldon Heller;Santa Marta;360-27-1679;M;2;45;Tecnico;Farandula,Cientifica,Economica;6
Dane Schinner;Barranquilla;103-05-5789;F;6;28;Profesional;Farandula;5
Rev. Sara Huel;Barranquilla;360-54-7485;F;4;42;Profesional;Politica,Farandula,Economica;6
Bruce Kihn;Cartagena;449-12-1891;F;3;30;Tecnico;Politica,Farandula,Cientifica,Economica;5
Dong Quitzon;Santa Marta;176-21-4176;F;3;34;Tecnico;Cientifica,Farandula;5
The Hon. Quentin Goodwin;Santa Marta;861-10-0827;M;4;23;Profesional;Cientifica,Farandula,Politica,Economica;5
Emely Schmeler;Santa Marta;194-12-0469;M;4;38;Profesional;Cientifica,Economica,Politica,Farandula;4
Ernest O'Connell;Cartagena;552-31-9599;F;4;59;Tecnico;;0
Francesco Stokes;Barranquilla;465-22-5688;M;2;36;Profesional especializacion/master;Farandula,Economica;5
The Hon. Lakendra Donnelly;Santa Marta;386-60-3157;F;1;56;Tecnico;Politica;1
Janise Shanahan;Santa Marta;305-95-3288;F;4;21;Tecnico;Farandula;1
Pres. Hortencia Buckridge;Santa Marta;734-39-5377;M;4;26;Tecnico;Economica,Cientifica,Farandula,Politica;4
Keneth Bruen;Barranquilla;705-53-5426;M;6;18;Profesional;;0
Kim Bogan Esq.;Santa Marta;497-73-2250;M;6;26;Tecnico;Farandula;4
Doyle Buckridge;Barranquilla;750-03-0670;M;4;17;Profesional;Economica;1
Sen. Jon Hirthe;Santa Marta;031-56-5724;F;6;47;Profesional;;0
Rep. Katy Bednar;Barranquilla;757-17-3832;M;6;19;Profesional;;0
Rev. Mack Stracke;Santa Marta;600-79-5721;M;6;39;Profesional especializacion/master;Farandula;4
Desiree McCullough;Barranquilla;189-92-9646;F;1;45;Profesional especializacion/master;Economica,Farandula;4
Winfred Veum;Santa Marta;834-14-4904;M;1;30;Profesional;Economica;6
Mrs. Esteban Zemlak;Cartagena;868-62-1386;M;1;42;Profesional especializacion/master;Cientifica,Economica,Farandula;6
Prof. Yuriko Dare;Cartagena;620-43-7409;M;6;56;Profesional;Cientifica,Farandula,Politica;1
Reanna Hodkiewicz I;Santa Marta;428-09-0816;F;4;36;Tecnico;Politica,Cientifica,Economica,Farandula;4
Mr. Lashay Jast;Barranquilla;318-59-3707;F;4;39;Profesional doctorado;Politica,Cientifica,Economica;6
Sheldon Zieme;Cartagena;173-53-6557;M;6;47;Tecnico;Cientifica,Politica,Economica;1
Errol Haag;Cartagena;811-62-8046;M;1;39;Profesional doctorado;Cientifica;4
Roxanna Skiles;Cartagena;874-14-6199;M;4;43;Tecnico;Cientifica;6
Bryant Sipes Sr.;Santa Marta;268-57-8821;F;5;39;Profesional;Economica,Politica,Cientifica;6
Pat Kunze III;Barranquilla;076-87-5920;F;5;26;Tecnico;Politica;5
Rebecca Kub DVM;Santa Marta;788-64-0175;M;3;18;Profesional;;0
Cristi Ankunding PhD;Santa Marta;356-96-1180;M;5;51;Profesional;;0
Huey Schumm;Barranquilla;237-38-9284;M;6;42;Profesional especializacion/master;Economica;4
Irving Pfannerstill;Santa Marta;317-40-0783;M;5;39;Tecnico;Economica,Politica,Farandula;6
Quintin Lubowitz;Barranquilla;116-54-4096;F;6;41;Tecnico;Economica;6
Albertina Ward IV;Santa Marta;852-41-5546;F;4;51;Tecnico;Farandula,Politica,Economica,Cientifica;1
Annmarie Daugherty;Santa Marta;519-91-8269;M;6;47;Tecnico;;0
Dr. Stacey Dibbert;Santa Marta;356-74-2350;M;1;33;Tecnico;Cientifica,Economica;4
Rolando Cartwright;Cartagena;418-59-9915;F;5;31;Profesional;Farandula;4
